time,altitude,velocity,thrust
0,11.0259034423547,0.531311861736828,10.6089355852105
0.02,11.0136913580678,0.580639762987346,10.756919288962
0.04,10.9994533205405,0.630893698699695,10.9076810960991
0.06,10.9855152735337,0.681372489222427,11.0591174676673
0.08,10.971029407997,0.732472925313889,11.2124187759417
0.1,10.9567150882407,0.781439194286552,11.3593175828597
0.12,10.9420694100599,0.824736085534464,11.4892082566034
0.14,10.926243684887,0.862353109361164,11.6020593280835
0.16,10.910378052463,0.894726501396774,11.6991795041903
0.18,10.8922861612625,0.925177330539422,11.7905319916183
0.2,10.8733557150553,0.955242022804176,11.8807260684125
0.22,10.8541156461647,0.985624142733306,11.9718724281999
0.24,10.8350344502847,1.01634231604852,12.0640269481456
0.26,10.8164587631177,1.04526076438851,12.1507822931655
0.28,10.7989810057539,1.07196180502764,12.2308854150829
0.3,10.7824413320068,1.0940367111949,12.2971101335847
0.32,10.7652248971765,1.11045510886043,12.3463653265813
0.34,10.7483004870749,1.12160375859454,12.3798112757836
0.36,10.7278692546907,1.12863797512952,12.4009139253886
0.38,10.7065753685653,1.13113964754806,12.4084189426442
0.4,10.6828172451907,1.1371244209235,12.4263732627705
0.42,10.6565402091273,1.14754559361163,12.4576367808349
0.44,10.6286495693149,1.16408819817373,12.5072645945212
0.46,10.5983380058428,1.18422255821855,12.5676676746556
0.48,10.5678069742886,1.20445950314651,12.6283785094395
0.5,10.5370662111136,1.22185217037131,12.6805565111139
0.52,10.5058819155543,1.23457791218367,12.718733736551
0.54,10.4758520385725,1.24254065509152,12.7426219652746
0.56,10.4461887412003,1.25022777292712,12.7656833187814
0.58,10.4183761605951,1.25634149212588,12.7840244763777
0.6,10.3923020074753,1.26490384107712,12.8097115232314
0.62,10.3678679013612,1.27547630253883,12.8414289076165
0.64,10.3438754447934,1.28740552333537,12.8772165700061
0.66,10.3217867668162,1.29778729711294,12.9083618913388
0.68,10.2983568866615,1.3079461041188,12.9388383123564
0.7,10.2743156392829,1.31350856100187,12.9555256830056
0.72,10.2491508432365,1.31870695506261,12.9711208651878
0.74,10.2217023952553,1.32334251769584,12.9850275530875
0.76,10.1925425787647,1.32981786889848,13.0044536066954
0.78,10.1624794950459,1.33866113675835,13.0309834102751
0.8,10.1314341019243,1.34890595953093,13.0617178785928
0.82,10.100164742843,1.35941572292512,13.0932471687754
0.84,10.0696843482795,1.36725602152671,13.1167680645801
0.86,10.040286945909,1.3711535006235,13.1284605018705
0.88,10.0131135179533,1.37521754962097,13.1406526488629
0.9,9.98948863418649,1.37612897511336,13.1433869253401
0.92,9.96770550372378,1.37840735181756,13.1502220554527
0.94,9.94700586539574,1.38257056826411,13.1627117047923
0.96,9.92523001630013,1.38988064203386,13.1846419261016
0.98,9.90139605874514,1.39800771285577,13.2090231385673
1,9.87482297070349,1.40744822884896,13.2373446865469
1.02,9.84548343304918,1.41670786891151,13.2651236067345
1.04,9.81449253089104,1.42423420008032,13.287702600241
1.06,9.7819362743068,1.4320376046518,13.3111128139554
1.08,9.74955522491633,1.43710509644659,13.3263152893398
1.1,9.71868840610911,1.44123631212879,13.3387089363864
1.12,9.6908106775879,1.44652097653725,13.3545629296118
1.14,9.6644057837856,1.45171501138845,13.3701450341654
1.16,9.63995435223023,1.45528071807223,13.3808421542167
1.18,9.61594634006867,1.45581007808579,13.3824302342574
1.2,9.59108441747222,1.45452543635239,13.3785763090572
1.22,9.56479817121516,1.44870489370619,13.3611146811186
1.24,9.53607832553723,1.44011030379259,13.3353309113778
1.26,9.50396505658851,1.43621941147995,13.3236582344398
1.28,9.47032703387558,1.4355143906106,13.3215431718318
1.3,9.4342241248627,1.43987264320246,13.3346179296074
1.32,9.39684443262361,1.44785830112718,13.3585749033815
1.34,9.35963371335678,1.45619402748956,13.3835820824687
1.36,9.3238186878181,1.46252826962008,13.4025848088602
1.38,9.28984056796331,1.46513485589406,13.4104045676822
1.4,9.25746615357227,1.46282633108181,13.4034789932454
1.42,9.22735116352162,1.45456819056149,13.3787045716845
1.44,9.19940869222154,1.44568294672069,13.3520488401621
1.46,9.17235636039182,1.43715548721619,13.3264664616486
1.48,9.14572094560763,1.4298383709927,13.3045151129781
1.5,9.12036062025418,1.42687302843292,13.2956190852988
1.52,9.09553152027155,1.42938465367328,13.3031539610198
1.54,9.06985532381394,1.43488138327517,13.3196441498255
1.56,9.04315585233023,1.44065160529801,13.336954815894
1.58,9.01343726958967,1.44800666086843,13.3590199826053
1.6,8.98042781919258,1.45204353227857,13.3711305968357
1.62,8.94387973270058,1.45444006845492,13.3783202053648
1.64,8.90436971556642,1.4559091505552,13.3827274516656
1.66,8.86572631108759,1.45645763373506,13.3843729012052
1.68,8.8295138261569,1.4560835376511,13.3832506129533
1.7,8.79714947371542,1.4559156354534,13.3827469063602
1.72,8.76777219198217,1.4559581622688,13.3828744868064
1.74,8.74029251029965,1.45473949525091,13.3792184857527
1.76,8.71479789892331,1.45451152295507,13.3785345688652
1.78,8.68990259096522,1.45683179482676,13.3854953844803
1.8,8.66426844699584,1.46009183398811,13.3952755019643
1.82,8.63824746527715,1.46493916931524,13.4098175079457
1.84,8.61174668317022,1.47195498446538,13.4308649533961
1.86,8.58440656080974,1.47734965243707,13.4470489573112
1.88,8.55580642515848,1.48191036022368,13.460731080671
1.9,8.52682981503987,1.48645153349287,13.4743546004786
1.92,8.49803471631723,1.49064532612225,13.4869359783667
1.94,8.46991140121949,1.49653008868567,13.504590266057
1.96,8.4413208642784,1.50376356832109,13.5262907049633
1.98,8.41280306812774,1.5147608897177,13.5592826691531
2,8.38431684693836,1.52537456482988,13.5911236944896
2.02,8.35571497122155,1.53526907654249,13.6208072296275
2.04,8.32702213125943,1.54239181349107,13.6421754404732
2.06,8.29807211466932,1.54431263163598,13.6479378949079
2.08,8.26915192327885,1.54265815265654,13.6429744579696
2.1,8.24054383293897,1.53884129233637,13.6315238770091
2.12,8.21208855866067,1.53208341378115,13.6112502413434
2.14,8.18442479570184,1.52423670983756,13.5877101295127
2.16,8.15737068347144,1.51555389121598,13.5616616736479
2.18,8.13100496488262,1.50603312695702,13.5330993808711
2.2,8.10521968957957,1.49508369544295,13.5002510863289
2.22,8.07911897563048,1.48382932764111,13.4664879829233
2.24,8.05253998388988,1.4736748813511,13.4360246440533
2.26,8.02505575707832,1.46636031627901,13.414080948837
2.28,7.99539676460754,1.46155982004386,13.3996794601316
2.3,7.96425838478944,1.46250017346981,13.4025005204094
2.32,7.93036410903543,1.46682890894241,13.4154867268272
2.34,7.8963627836933,1.47545766042593,13.4413729812778
2.36,7.86202009824221,1.48820704220266,13.479621126608
2.38,7.82983472905467,1.49970579840914,13.5141173952274
2.4,7.79957611086917,1.51020053044227,13.5456015913268
2.42,7.77048033116548,1.51850025361809,13.5705007608543
2.44,7.74175891543942,1.52193059377465,13.580791781324
2.46,7.71180628684202,1.52584922090689,13.5925476627207
2.48,7.68074834267721,1.52885779504035,13.601573385121
2.5,7.64695401258395,1.53371559549476,13.6161467864843
2.52,7.61150809475675,1.54057866625396,13.6367359987619
2.54,7.57505042689734,1.54587463918344,13.6526239175503
2.56,7.53875807549904,1.54910471433432,13.662314143003
2.58,7.50433971298698,1.54625692403729,13.6537707721119
2.6,7.47275317348802,1.53891933074169,13.6317579922251
2.62,7.44444502838151,1.53118899024565,13.6085669707369
2.64,7.41748204990909,1.52304488927138,13.5841346678141
2.66,7.39235678897465,1.51499758985364,13.5599927695609
2.68,7.36766403951269,1.51061959224527,13.5468587767358
2.7,7.34411535212043,1.50874293461476,13.5412288038443
2.72,7.32028422230964,1.50715889360744,13.5364766808223
2.74,7.29490251468945,1.50843862753239,13.5403158825972
2.76,7.26876637466233,1.5085293570766,13.5405880712298
2.78,7.23973238023451,1.51100766115322,13.5480229834597
2.8,7.20988296670821,1.51407409315445,13.5572222794633
2.82,7.17743622071703,1.51631942573832,13.563958277215
2.84,7.14452838415341,1.52012626227262,13.5753787868179
2.86,7.1101824333817,1.52276510907185,13.5832953272155
2.88,7.07537829724095,1.52505922215457,13.5901776664637
2.9,7.04088707043509,1.52483623979422,13.5895087193826
2.92,7.00799780776394,1.52250622554053,13.5825186766216
2.94,6.97750846002186,1.5180307124452,13.5690921373356
2.96,6.9493095878177,1.51353696214465,13.5556108864339
2.98,6.92243070299597,1.50989544802812,13.5446863440844
3,6.89590729017928,1.50380790082851,13.5264237024855
3.02,6.86913868652536,1.50076292177359,13.5172887653208
3.04,6.84117627901906,1.49727355085763,13.5068206525729
3.06,6.81017365789707,1.4956022146647,13.5018066439941
3.08,6.7782855811084,1.49502781717169,13.5000834515151
3.1,6.74517622501779,1.49738588562729,13.5071576568819
3.12,6.71297497863227,1.50098837753297,13.5179651325989
3.14,6.68142615863123,1.50423697146803,13.5277109144041
3.16,6.65194009323317,1.50533250861656,13.5309975258497
3.18,6.62271844460225,1.50506631174055,13.5301989352217
3.2,6.59220119412523,1.50393436178247,13.5268030853474
3.22,6.56006513640217,1.50339257940063,13.5251777382019
3.24,6.52600383438862,1.5046459987139,13.5289379961417
3.26,6.49104554344026,1.50634099207093,13.5340229762128
3.28,6.4561797144661,1.50689959199721,13.5356987759916
3.3,6.42246590343268,1.50815864902865,13.5394759470859
3.32,6.38991937591185,1.50726186522861,13.5367855956858
3.34,6.35866838906826,1.50487902060358,13.5296370618107
3.36,6.32816904277918,1.50333409592737,13.5250022877821
3.38,6.29657418656394,1.5033714983769,13.5251144951307
3.4,6.26298766089683,1.50313655326894,13.5244096598068
3.42,6.22758925814627,1.50456972593611,13.5287091778083
3.44,6.19191483697577,1.5066473219833,13.5349419659499
3.46,6.15765269979409,1.50916301563593,13.5424890469078
3.48,6.12710902908834,1.51052331395718,13.5465699418715
3.5,6.10096440834961,1.51106419566597,13.5481925869979
3.52,6.07747603601862,1.51046493335408,13.5463948000622
3.54,6.0542058982686,1.51056970887441,13.5467091266232
3.56,6.03063066441901,1.5102861573929,13.5458584721787
3.58,6.00618399496043,1.50937708963668,13.54313126891
3.6,5.98059094160107,1.50655027061324,13.5346508118397
3.62,5.95479775381939,1.5009159623878,13.5177478871634
3.64,5.9284793722514,1.49464937931725,13.4989481379517
3.66,5.90220113919581,1.4883760808499,13.4801282425497
3.68,5.87492140327537,1.48161957797885,13.4598587339366
3.7,5.84866243592104,1.47650486628371,13.4445145988511
3.72,5.82296732251787,1.4718328189804,13.4304984569412
3.74,5.79691495063353,1.46582650588578,13.4124795176573
3.76,5.77045897446936,1.46227980543928,13.4018394163178
3.78,5.74390627557266,1.45914092564989,13.3924227769497
3.8,5.71612284268598,1.45576808826638,13.3823042647991
3.82,5.68678193000094,1.45271610134811,13.3731483040443
3.84,5.65704937378659,1.44946427093588,13.3633928128076
3.86,5.62515390322277,1.44791768654438,13.3587530596331
3.88,5.59225446504943,1.44868437398581,13.3610531219574
3.9,5.55807764196783,1.45257795473567,13.372733864207
3.92,5.52279321878574,1.45729017428274,13.3868705228482
3.94,5.4865302249825,1.46080575168287,13.3974172550486
3.96,5.44899083573864,1.46164978899591,13.3999493669877
3.98,5.41360539099087,1.46168408774619,13.4000522632386
4,5.37791511965614,1.46206235349865,13.4011870604959
4.02,5.34350996166406,1.46397509601839,13.4069252880552
4.04,5.30981074288153,1.46842222931222,13.4202666879367
4.06,5.27713428122846,1.47416245504235,13.437487365127
4.08,5.24401079602671,1.48351561746781,13.4655468524034
4.1,5.21177979628276,1.49164241536142,13.4899272460843
4.12,5.18100888402655,1.49870122016303,13.5111036604891
4.14,5.15003531371301,1.50162461059704,13.5198738317911
4.16,5.12204505592897,1.50426040862577,13.5277812258773
4.18,5.09518028523346,1.5063940186567,13.5341820559701
4.2,5.06882574014193,1.50930287972541,13.5429086391762
4.22,5.04159611085008,1.51375082376683,13.5562524713005
4.24,5.01339687624149,1.51782015308018,13.5684604592405
4.26,4.98429472964514,1.51993384721907,13.5748015416572
4.28,4.95310553320435,1.52108041835454,13.5782412550636
4.3,4.92270187120892,1.52316128575529,13.5844838572659
4.32,4.89216660628256,1.52752744187535,13.5975823256261
4.34,4.86328917749087,1.53180203927265,13.6104061178179
4.36,4.83400506219837,1.53497667504747,13.6199300251424
4.38,4.80549708795769,1.5338172140685,13.6164516422055
4.4,4.77672253006264,1.52950150269524,13.6035045080857
4.42,4.74707304612435,1.51966757251489,13.5740027175447
4.44,4.71850119716477,1.50806958891153,13.5392087667346
4.46,4.68902367152947,1.49437390748064,13.4981217224419
4.48,4.66017197973558,1.48227295506477,13.4618188651943
4.5,4.63272004762362,1.47354234467402,13.4356270340221
4.52,4.60605614891323,1.47028980842361,13.4258694252708
4.54,4.57887526374885,1.47131697326343,13.4289509197903
4.56,4.55132885178218,1.47580787110142,13.4424236133043
4.58,4.52355030541611,1.48396025806871,13.4668807742061
4.6,4.49523701307868,1.49420658862529,13.4976197658759
4.62,4.46772856626128,1.50556524025092,13.5316957207528
4.64,4.44139438101207,1.51730326694369,13.5669098008311
4.66,4.41614690243189,1.52750933470952,13.5975280041286
4.68,4.39071039122519,1.53592324798636,13.6227697439591
4.7,4.36429102466291,1.53948821226713,13.6334646368014
4.72,4.33515003503745,1.53951859921155,13.6335557976347
4.74,4.30251832277833,1.53712686899851,13.6263806069955
4.76,4.26689404082702,1.53525728838304,13.6207718651491
4.78,4.22918349602755,1.53360292965537,13.6158087889661
4.8,4.1899651811645,1.5320420921397,13.6111262764191
4.82,4.15121707805984,1.52931216948917,13.6029365084675
4.84,4.11257147365559,1.52460256712276,13.5888077013683
4.86,4.07557049185647,1.51610946741375,13.5633284022412
4.88,4.04015096513451,1.50392466328873,13.5267739898662
4.9,4.00881193636153,1.49096395796699,13.487891873901
4.92,3.97977156937488,1.48258100955763,13.4627430286729
4.94,3.95313943192311,1.47767583639947,13.4480275091984
4.96,3.92795092512187,1.47605886113445,13.4431765834034
4.98,3.90265648701699,1.47775162142382,13.4482548642715
5,3.87664670766082,1.48053004259235,13.4565901277771
5.02,3.85067727349615,1.48319649845941,13.4645894953782
5.04,3.82449290440584,1.48444058623245,13.4683217586973
5.06,3.7978975422502,1.48665048012963,13.4749514403889
5.08,3.77150773347924,1.49101875499145,13.4880562649744
5.1,3.7446024734908,1.49643963132943,13.5043188939883
5.12,3.71697215587658,1.50263179869763,13.5228953960929
5.14,3.68933969408723,1.50769232973189,13.5380769891957
5.16,3.66019382903456,1.51198725348946,13.5509617604684
5.18,3.6302260737777,1.51344193548051,13.5553258064415
